Target.id	Gene.symbol	Chromosome	Gene.name	Protein.name	Ensembl.id	UniProt.id	P_value	FDR.BH.	FDR.Bonferroni.	Relationship	Value	herb
SMTT00060	ACTA1	1	Actin, Alpha 1, Skeletal Muscle	Actin, Alpha Skeletal Muscle	ENSG00000143632	P68133	0.0185072	0.0595531	1	By_ingredient	0.3903	灵芝
SMTT00062	ACTB	7	Actin Beta	Actin, Cytoplasmic 1	ENSG00000075624	P60709	0.0414199	0.0830129	1	By_ingredient	0.3755	灵芝
SMTT00063	ACTC1	15	Actin, Alpha, Cardiac Muscle 1	None	ENSG00000159251	None	0.0161891	0.0568637	1	By_ingredient	0.3965	灵芝
SMTT00064	ACTG1	17	Actin Gamma 1	Actin, Cytoplasmic 2	ENSG00000184009	P63261	0.0185072	0.0595531	1	By_ingredient	0.3829	灵芝
SMTT00065	ACTG2	2	Actin, Gamma 2, Smooth Muscle, Enteric	None	ENSG00000163017	None	0.0185072	0.0595531	1	By_ingredient	0.4026	灵芝
SMTT00073	ADA	20	Adenosine Deaminase	Adenosine Deaminase	ENSG00000196839	P00813	0.00830925	0.0441877	1	By_ingredient	0.4159	灵芝
SMTT00074	ADA2	22	Adenosine Deaminase 2	None	ENSG00000093072	None	0.00193494	0.0232442	1	By_ingredient	0.4088	灵芝
SMTT00085	ADAR	1	Adenosine Deaminase, RNA Specific	None	ENSG00000160710	None	0.000199028	0.00534915	1	By_ingredient	0.4338	灵芝
SMTT00098	ADK	10	Adenosine Kinase	Adenosine Kinase	ENSG00000156110	P55263	0.0100615	0.0474436	1	By_ingredient	0.3812	灵芝
SMTT00100	ADORA2A	None	adenosine A2a receptor	Adenosine Receptor A2a	ENSG00000128271	P29274	0.00467229	0.0352312	1	By_ingredient	0.6294	灵芝
SMTT00102	ADRA1A	None	adrenoceptor alpha 1A	Alpha-1A Adrenergic Receptor	ENSG00000120907	P35348	0.720441	0.746111	1	By_ingredient	1.9617	灵芝
SMTT00103	ADRA2A	None	adrenoceptor alpha 2A	Alpha-2A Adrenergic Receptor	ENSG00000150594	P08913	0.900456	0.913385	1	By_ingredient	0.9585	灵芝
SMTT00105	ADRB1	None	adrenoceptor beta 1	Beta-1 Adrenergic Receptor	ENSG00000043591	P08588	0.993587	0.995536	1	By_ingredient	1.0008	灵芝
SMTT00106	ADRB2	None	adrenoceptor beta 2	Beta-2 Adrenergic Receptor	ENSG00000169252	P07550	0.99758	0.998721	1	By_ingredient	2.1179	灵芝
SMTT00107	ADRB3	None	adrenoceptor beta 3	Beta-3 Adrenergic Receptor	ENSG00000188778	P13945	0.00287159	0.0287931	1	By_ingredient	0.6421	灵芝
SMTT00123	AGTR1	3	Angiotensin II Receptor Type 1	Type-1 Angiotensin II Receptor	ENSG00000144891	P30556	0.0319368	0.0739902	1	By_ingredient	0.4964	灵芝
SMTT00124	AGTR2	X	Angiotensin II Receptor Type 2	Type-2 Angiotensin II Receptor	ENSG00000180772	P50052	0.0271337	0.0692226	1	By_ingredient	0.4522	灵芝
SMTT00126	AHCY	20	Adenosylhomocysteinase	Adenosylhomocysteinase	ENSG00000101444	P23526	0.00830925	0.0441877	1	By_ingredient	0.4384	灵芝
SMTT00139	AKR1B1	None	aldo-keto reductase family 1 member B	Aldose Reductase	ENSG00000085662	P15121	0.679128	0.706782	1	By_ingredient	0.8282	灵芝
SMTT00144	AKT1	14	AKT Serine/threonine Kinase 1	RAC-alpha Serine/threonine-protein Kinase	ENSG00000142208	P31749	0.405372	0.437136	1	By_ingredient	0.6705	灵芝
SMTT00244	AR	X	Androgen Receptor	Androgen Receptor	ENSG00000169083	P10275	1.75407e-23	3.2673e-20	7.25341e-18	By_ingredient	31.066	灵芝
SMTT00287	ATM	11	ATM Serine/threonine Kinase	Serine-protein Kinase ATM	ENSG00000149311	Q13315	0.0185072	0.0595531	1	By_ingredient	0.3165	灵芝
SMTT00324	AVP	20	Arginine Vasopressin	None	ENSG00000101200	None	0.0350182	0.0765773	1	By_ingredient	0.3698	灵芝
SMTT00325	AVPR2	X	Arginine Vasopressin Receptor 2	Vasopressin V2 Receptor	ENSG00000126895	P30518	0.0141447	0.053676	1	By_ingredient	0.4894	灵芝
SMTT00356	BCHE	None	butyrylcholinesterase	Cholinesterase	ENSG00000114200	P06276	0.265874	0.295089	1	By_ingredient	1.1555	灵芝
SMTT00357	BCKDHA	19	Branched Chain Keto Acid Dehydrogenase E1, Alpha Polypeptide	None	ENSG00000248098	None	0.00117192	0.0172508	1	By_ingredient	0.4076	灵芝
SMTT00361	BCL2	18	BCL2, Apoptosis Regulator	Apoptosis Regulator Bcl-2	ENSG00000171791	P10415	0.384913	0.416404	1	By_ingredient	1.0856	灵芝
SMTT00436	CA2	8	Carbonic Anhydrase 2	Carbonic Anhydrase 2	ENSG00000104267	P00918	0.999702	1	1	By_ingredient	3.9968	灵芝
SMTT00461	CALM3	19	Calmodulin 3	None	ENSG00000160014	None	0.999903	1	1	By_ingredient	0.5284	灵芝
SMTT00477	CASP1	None	caspase 1	Caspase-1	ENSG00000137752	P29466	0.0482217	0.0893031	1	By_ingredient	0.3553	灵芝
SMTT00480	CASP3	None	caspase 3	Caspase-3	ENSG00000164305	P42574	0.81732	0.837048	1	By_ingredient	0.9691	灵芝
SMTT00485	CASR	3	Calcium Sensing Receptor	Extracellular Calcium-sensing Receptor	ENSG00000036828	P41180	0.0482217	0.0893031	1	By_ingredient	0.3766	灵芝
SMTT00487	CAT	11	Catalase	Catalase	ENSG00000121691	P04040	0.502364	0.534373	1	By_ingredient	0.1556	灵芝
SMTT00516	CCL2	None	C-C motif chemokine ligand 2	C-C Motif Chemokine 2	ENSG00000108691	P13500	0.00225923	0.0253066	1	By_ingredient	0.8864	灵芝
SMTT00521	CCND1	11	Cyclin D1	G1/S-specific Cyclin-D1	ENSG00000110092	P24385	0.452279	0.484526	1	By_ingredient	0.1892	灵芝
SMTT00525	CCR1	3	C-C Motif Chemokine Receptor 1	None	ENSG00000163823	None	0.0353691	0.0768127	1	By_ingredient	0.4853	灵芝
SMTT00526	CCR2	None	C-C motif chemokine receptor 2	C-C Chemokine Receptor Type 2	ENSG00000121807	P41597	0.0408586	0.0825143	1	By_ingredient	0.4317	灵芝
SMTT00527	CCR5	None	C-C motif chemokine receptor 5 (gene/pseudogene)	C-C Chemokine Receptor Type 5	ENSG00000160791	P51681	0.0427783	0.0843771	1	By_ingredient	0.4919	灵芝
SMTT00546	CD40	20	CD40 Molecule	Tumor Necrosis Factor Receptor Superfamily Member 5	ENSG00000101017	P25942	0.0660565	0.0894546	1	By_ingredient	0.2072	灵芝
SMTT00547	CD40LG	X	CD40 Ligand	CD40 Ligand	ENSG00000102245	P29965	0.0660565	0.0894546	1	By_ingredient	0.1764	灵芝
SMTT00550	CD79A	19	CD79a Molecule	None	ENSG00000105369	None	0.00287531	0.0287955	1	By_ingredient	0.4256	灵芝
SMTT00552	CD80	None	CD80 molecule	T-lymphocyte Activation Antigen CD80	ENSG00000121594	P33681	0.103585	0.128646	1	By_ingredient	0.204	灵芝
SMTT00554	CD86	None	CD86 molecule	T-lymphocyte Activation Antigen CD86	ENSG00000114013	P42081	0.0912453	0.115839	1	By_ingredient	0.2028	灵芝
SMTT00558	CDC25B	None	cell division cycle 25B	M-phase Inducer Phosphatase 2	ENSG00000101224	P30305	0.318137	0.348586	1	By_ingredient	0.2145	灵芝
SMTT00570	CDK4	12	Cyclin Dependent Kinase 4	Cyclin-dependent Kinase 4	ENSG00000135446	P11802	0.336549	0.367525	1	By_ingredient	0.1918	灵芝
SMTT00622	CFTR	7	Cystic Fibrosis Transmembrane Conductance Regulator	Cystic Fibrosis Transmembrane Conductance Regulator	ENSG00000001626	P13569	0.0350182	0.0765773	1	By_ingredient	0.3909	灵芝
SMTT00624	CHAT	10	Choline O-acetyltransferase	Choline O-acetyltransferase	ENSG00000070748	P28329	0.0290454	0.0709811	1	By_ingredient	0.3882	灵芝
SMTT00636	CHRM1	None	cholinergic receptor muscarinic 1	Muscarinic Acetylcholine Receptor M1	ENSG00000168539	P11229	0.795422	0.81678	1	By_ingredient	3.1729	灵芝
SMTT00728	COL4A2	13	Collagen Type IV Alpha 2 Chain	None	ENSG00000134871	None	0.0135735	0.0315038	1	By_ingredient	0.1845	灵芝
SMTT00739	COL7A1	3	Collagen Type VII Alpha 1 Chain	None	ENSG00000114270	None	0.115757	0.141264	1	By_ingredient	0.1832	灵芝
SMTT00786	CREB1	2	CAMP Responsive Element Binding Protein 1	Cyclic AMP-responsive Element-binding Protein 1	ENSG00000118260	P16220	0.0152347	0.0557062	1	By_ingredient	0.5133	灵芝
SMTT00797	CRYAB	11	Crystallin Alpha B	None	ENSG00000109846	None	0.0417858	0.0832496	1	By_ingredient	0.1768	灵芝
SMTT00838	CTSD	11	Cathepsin D	Cathepsin D	ENSG00000117984	P07339	0.130431	0.156214	1	By_ingredient	0.805	灵芝
SMTT00851	CXCL8	None	C-X-C motif chemokine ligand 8	Interleukin-8	ENSG00000169429	P10145	0.0550562	0.0779924	1	By_ingredient	1.1117	灵芝
SMTT00865	CYP1A1	None	cytochrome P450 family 1 subfamily A member 1	Cytochrome P450 1A1	ENSG00000140465	P04798	0.308741	0.339014	1	By_ingredient	0.5238	灵芝
SMTT00866	CYP1A2	None	cytochrome P450 family 1 subfamily A member 2	Cytochrome P450 1A2	ENSG00000140505	P05177	0.218159	0.246194	1	By_ingredient	0.3173	灵芝
SMTT00875	CYP2B6	None	cytochrome P450 family 2 subfamily B member 6	Cytochrome P450 2B6	ENSG00000197408	P20813	0.127765	0.15352	1	By_ingredient	0.61	灵芝
SMTT00880	CYP2E1	None	cytochrome P450 family 2 subfamily E member 1	Cytochrome P450 2E1	ENSG00000130649	P05181	0.13961	0.165563	1	By_ingredient	0.1679	灵芝
SMTT00917	DDC	7	Dopa Decarboxylase	Aromatic-L-amino-acid Decarboxylase	ENSG00000132437	P20711	0.0140059	0.0534848	1	By_ingredient	0.3879	灵芝
SMTT00920	DDIT3	12	DNA Damage Inducible Transcript 3	None	ENSG00000175197	None	0.0660565	0.0894546	1	By_ingredient	0.1577	灵芝
SMTT00940	DHCR7	11	7-dehydrocholesterol Reductase	7-dehydrocholesterol Reductase	ENSG00000172893	Q9UBM7	0.0135735	0.0315038	1	By_ingredient	0.2402	灵芝
SMTT01033	DUOX2	15	Dual Oxidase 2	None	ENSG00000140279	None	0.007687	0.0235217	1	By_ingredient	0.3772	灵芝
SMTT01057	EDN1	6	Endothelin 1	Endothelin-1	ENSG00000078401	P05305	0.0319368	0.0739902	1	By_ingredient	0.5279	灵芝
SMTT01059	EDNRA	4	Endothelin Receptor Type A	Endothelin-1 Receptor	ENSG00000151617	P25101	0.0353691	0.0768127	1	By_ingredient	0.5059	灵芝
SMTT01060	EDNRB	13	Endothelin Receptor Type B	Endothelin B Receptor	ENSG00000136160	P24530	0.0213797	0.0633116	1	By_ingredient	0.5161	灵芝
SMTT01070	EGFR	7	Epidermal Growth Factor Receptor	Epidermal Growth Factor Receptor	ENSG00000146648	P00533	0.269851	0.29915	1	By_ingredient	0.3683	灵芝
SMTT01084	EIF6	None	eukaryotic translation initiation factor 6	Eukaryotic Translation Initiation Factor 6	ENSG00000242372	P56537	0.327406	0.35808	1	By_ingredient	0.1949	灵芝
SMTT01108	EP300	22	E1A Binding Protein P300	None	ENSG00000100393	None	0.0401723	0.0619329	1	By_ingredient	0.1976	灵芝
SMTT01141	ESR1	6	Estrogen Receptor 1	Estrogen Receptor	ENSG00000091831	P03372	0.999894	1	1	By_ingredient	12.1773	灵芝
SMTT01148	ETFDH	4	Electron Transfer Flavoprotein Dehydrogenase	Electron Transfer Flavoprotein-ubiquinone Oxidoreductase, Mitochondrial	ENSG00000171503	Q16134	0.00193494	0.0232442	1	By_ingredient	0.4649	灵芝
SMTT01270	FN1	2	Fibronectin 1	Fibronectin	ENSG00000115414	P02751	0.0200577	0.0612974	1	By_ingredient	0.5002	灵芝
SMTT01272	FOS	14	Fos Proto-oncogene, AP-1 Transcription Factor Subunit	Proto-oncogene C-Fos	ENSG00000170345	P01100	0.444726	0.476885	1	By_ingredient	0.7052	灵芝
SMTT01311	FYN	None	FYN proto-oncogene, Src family tyrosine kinase	Tyrosine-protein Kinase Fyn	ENSG00000010810	P06241	0.0102408	0.0477378	1	By_ingredient	0.5267	灵芝
SMTT01348	GATM	15	Glycine Amidinotransferase	Glycine Amidinotransferase, Mitochondrial	ENSG00000171766	P50440	0.427568	0.459635	1	By_ingredient	0.3818	灵芝
SMTT01354	GCK	7	Glucokinase	Glucokinase	ENSG00000106633	P35557	0.0262291	0.0680745	1	By_ingredient	0.3658	灵芝
SMTT01377	GHSR	3	Growth Hormone Secretagogue Receptor	Growth Hormone Secretagogue Receptor Type 1	ENSG00000121853	Q92847	0.0213797	0.0633116	1	By_ingredient	0.4192	灵芝
SMTT01430	GNRH1	8	Gonadotropin Releasing Hormone 1	None	ENSG00000147437	None	0.0235313	0.0474433	1	By_ingredient	0.4363	灵芝
SMTT01431	GNRHR	4	Gonadotropin Releasing Hormone Receptor	Gonadotropin-releasing Hormone Receptor	ENSG00000109163	P30968	0.0227483	0.0649931	1	By_ingredient	0.4812	灵芝
SMTT01436	GOT1	None	glutamic-oxaloacetic transaminase 1	Aspartate Aminotransferase, Cytoplasmic	ENSG00000120053	P17174	0.111041	0.136384	1	By_ingredient	0.363	灵芝
SMTT01449	GPR101	X	G Protein-coupled Receptor 101	None	ENSG00000165370	None	0.0131005	0.0517903	1	By_ingredient	0.4538	灵芝
SMTT01451	GPR161	1	G Protein-coupled Receptor 161	None	ENSG00000143147	None	0.0131005	0.0517903	1	By_ingredient	0.4148	灵芝
SMTT01454	GPR88	1	G Protein-coupled Receptor 88	None	ENSG00000181656	None	0.0131005	0.0517903	1	By_ingredient	0.4268	灵芝
SMTT01456	GPT	None	glutamic--pyruvic transaminase	Alanine Aminotransferase 1	ENSG00000167701	P24298	0.467081	0.49933	1	By_ingredient	0.1787	灵芝
SMTT01457	GPT2	16	Glutamic--pyruvic Transaminase 2	Alanine Aminotransferase 2	ENSG00000166123	Q8TD30	0.103585	0.128646	1	By_ingredient	0.1756	灵芝
SMTT01463	GRIA1	None	glutamate ionotropic receptor AMPA type subunit 1	Glutamate Receptor 1	ENSG00000155511	P42261	0.13961	0.165563	1	By_ingredient	0.2234	灵芝
SMTT01464	GRIA2	None	glutamate ionotropic receptor AMPA type subunit 2	Glutamate Receptor 2	ENSG00000120251	P42262	0.743966	0.76828	1	By_ingredient	0.6184	灵芝
SMTT01485	GSR	None	glutathione-disulfide reductase	Glutathione Reductase, Mitochondrial	ENSG00000104687	P00390	0.13961	0.165563	1	By_ingredient	0.2463	灵芝
SMTT01491	GSTP1	None	glutathione S-transferase pi 1	Glutathione S-transferase P	ENSG00000084207	P09211	0.318137	0.348586	1	By_ingredient	0.3897	灵芝
SMTT01529	HCRT	17	Hypocretin Neuropeptide Precursor	Orexin	ENSG00000161610	O43612	0.00194902	0.0233139	1	By_ingredient	0.537	灵芝
SMTT01554	HLA-A	6	Major Histocompatibility Complex, Class I, A	HLA Class I Histocompatibility Antigen, A-2 Alpha Chain	ENSG00000206503	P01892	0.0381672	0.0797663	1	By_ingredient	0.3468	灵芝
SMTT01561	HLCS	21	Holocarboxylase Synthetase	Biotin--protein Ligase	ENSG00000159267	P50747	0.0280543	0.0703419	1	By_ingredient	0.2049	灵芝
SMTT01602	HRH2	None	histamine receptor H2	Histamine H2 Receptor	ENSG00000113749	P25021	0.0152347	0.0557062	1	By_ingredient	0.5045	灵芝
SMTT01607	HSD17B10	X	Hydroxysteroid 17-beta Dehydrogenase 10	3-hydroxyacyl-CoA Dehydrogenase Type-2	ENSG00000072506	Q99714	0.0280543	0.0703419	1	By_ingredient	0.2074	灵芝
SMTT01625	HTR1A	5	5-hydroxytryptamine Receptor 1A	5-hydroxytryptamine Receptor 1A	ENSG00000178394	P08908	0.0371537	0.0789173	1	By_ingredient	0.4719	灵芝
SMTT01626	HTR1B	None	5-hydroxytryptamine receptor 1B	5-hydroxytryptamine Receptor 1B	ENSG00000135312	P28222	0.0302896	0.072091	1	By_ingredient	0.4753	灵芝
SMTT01627	HTR2A	None	5-hydroxytryptamine receptor 2A	5-hydroxytryptamine Receptor 2A	ENSG00000102468	P28223	0.0353691	0.0768127	1	By_ingredient	0.4777	灵芝
SMTT01628	HTR3A	None	5-hydroxytryptamine receptor 3A	5-hydroxytryptamine Receptor 3A	ENSG00000166736	P46098	0.674694	0.702564	1	By_ingredient	0.2193	灵芝
SMTT01638	ICAM1	None	intercellular adhesion molecule 1	Intercellular Adhesion Molecule 1	ENSG00000090339	P05362	0.371899	0.403259	1	By_ingredient	0.4851	灵芝
SMTT01664	IGF1R	15	Insulin Like Growth Factor 1 Receptor	Insulin-like Growth Factor 1 Receptor	ENSG00000140443	P08069	0.0319368	0.0739902	1	By_ingredient	0.5135	灵芝
SMTT01665	IGF2	11	Insulin Like Growth Factor 2	None	ENSG00000167244	None	0.020956	0.0626745	1	By_ingredient	0.3778	灵芝
SMTT01671	IGHG1	None	immunoglobulin heavy constant gamma 1 (G1m marker)	Ig Gamma-1 Chain C Region	None	P01857	0.0427582	0.0647674	1	By_ingredient	1.7492	灵芝
SMTT01686	IL12A	3	Interleukin 12A	None	ENSG00000168811	None	0.0119619	0.0502348	1	By_ingredient	0.4002	灵芝
SMTT01688	IL12B	5	Interleukin 12B	Interleukin-12 Subunit Beta	ENSG00000113302	P29460	0.0161891	0.0568637	1	By_ingredient	0.3662	灵芝
SMTT01690	IL13	None	interleukin 13	Interleukin-13	ENSG00000169194	P35225	0.0140059	0.0534848	1	By_ingredient	0.3656	灵芝
SMTT01696	IL1A	None	interleukin 1 alpha	Interleukin-1 Alpha	ENSG00000115008	P01583	0.00368503	0.0162956	1	By_ingredient	0.3862	灵芝
SMTT01697	IL1B	None	interleukin 1 beta	Interleukin-1 Beta	ENSG00000125538	P01584	0.459731	0.49193	1	By_ingredient	0.5213	灵芝
SMTT01700	IL2	None	interleukin 2	Interleukin-2	ENSG00000109471	P60568	0.279773	0.309389	1	By_ingredient	0.3874	灵芝
SMTT01712	IL6	7	Interleukin 6	Interleukin-6	ENSG00000136244	P05231	0.0147561	0.054845	1	By_ingredient	1.5632	灵芝
SMTT01724	INS	11	Insulin	Insulin	ENSG00000254647	P01308	0.0414199	0.0830129	1	By_ingredient	0.3569	灵芝
SMTT01744	ISYNA1	None	inositol-3-phosphate synthase 1	Inositol-3-phosphate Synthase 1	ENSG00000105655	Q9NPH2	0.0017866	0.010867	1	By_ingredient	0.4739	灵芝
SMTT01778	JUN	None	Jun proto-oncogene, AP-1 transcription factor subunit	Transcription Factor AP-1	ENSG00000177606	P05412	0.0215231	0.0635209	1	By_ingredient	0.978	灵芝
SMTT01803	KCNH2	7	Potassium Voltage-gated Channel Subfamily H Member 2	Potassium Voltage-gated Channel Subfamily H Member 2	ENSG00000055118	Q12809	0.842392	0.860194	1	By_ingredient	0.7569	灵芝
SMTT01818	KCNN4	19	Potassium Calcium-activated Channel Subfamily N Member 4	Intermediate Conductance Calcium-activated Potassium Channel Protein 4	ENSG00000104783	O15554	0.00398791	0.032859	1	By_ingredient	0.411	灵芝
SMTT01833	KDR	4	Kinase Insert Domain Receptor	Vascular Endothelial Growth Factor Receptor 2	ENSG00000128052	P35968	0.915529	0.927121	1	By_ingredient	0.4333	灵芝
SMTT01855	KISS1R	19	KISS1 Receptor	KiSS-1 Receptor	ENSG00000116014	Q969F8	0.0200577	0.0612974	1	By_ingredient	0.4852	灵芝
SMTT01924	LCAT	16	Lecithin-cholesterol Acyltransferase	None	ENSG00000213398	None	0.0135735	0.0315038	1	By_ingredient	0.1914	灵芝
SMTT01926	LCT	2	Lactase	Lactase-phlorizin Hydrolase	ENSG00000115850	P09848	0.196476	0.223969	1	By_ingredient	0.1812	灵芝
SMTT02022	MAN2B1	19	Mannosidase Alpha Class 2B Member 1	None	ENSG00000104774	None	0.0135735	0.0315038	1	By_ingredient	0.2626	灵芝
SMTT02024	MAOA	X	Monoamine Oxidase A	Amine Oxidase [flavin-containing] A	ENSG00000189221	P21397	0.930368	0.94052	1	By_ingredient	0.1901	灵芝
SMTT02025	MAOB	None	monoamine oxidase B	Amine Oxidase [flavin-containing] B	ENSG00000069535	P27338	0.894049	0.907667	1	By_ingredient	1.5764	灵芝
SMTT02027	MAP2	None	microtubule associated protein 2	Microtubule-associated Protein 2	ENSG00000078018	P11137	0.0532025	0.0760135	1	By_ingredient	0.1824	灵芝
SMTT02031	MAP3K7	6	Mitogen-activated Protein Kinase Kinase Kinase 7	None	ENSG00000135341	None	0.0381672	0.0797663	1	By_ingredient	0.3813	灵芝
SMTT02035	MAPK12	None	mitogen-activated protein kinase 12	Mitogen-activated Protein Kinase 12	ENSG00000188130	P53778	0.0319763	0.0739902	1	By_ingredient	0.3659	灵芝
SMTT02054	MC1R	16	Melanocortin 1 Receptor	Melanocyte-stimulating Hormone Receptor	ENSG00000258839	Q01726	0.0187823	0.0599431	1	By_ingredient	0.4644	灵芝
SMTT02055	MC2R	18	Melanocortin 2 Receptor	Adrenocorticotropic Hormone Receptor	ENSG00000185231	Q01718	0.0141447	0.053676	1	By_ingredient	0.4569	灵芝
SMTT02056	MC4R	18	Melanocortin 4 Receptor	None	ENSG00000166603	None	0.0163709	0.0572124	1	By_ingredient	0.4609	灵芝
SMTT02124	MLXIPL	7	MLX Interacting Protein Like	None	ENSG00000009950	None	0.0417858	0.0832496	1	By_ingredient	0.2103	灵芝
SMTT02130	MME	None	membrane metalloendopeptidase	Neprilysin	ENSG00000196549	P08473	0.0401723	0.0619329	1	By_ingredient	0.1688	灵芝
SMTT02132	MMP1	11	Matrix Metallopeptidase 1	Interstitial Collagenase	ENSG00000196611	P03956	0.0408586	0.0825143	1	By_ingredient	0.5016	灵芝
SMTT02137	MMP2	16	Matrix Metallopeptidase 2	72 KDa Type IV Collagenase	ENSG00000087245	P08253	0.405372	0.437136	1	By_ingredient	0.4043	灵芝
SMTT02143	MMP9	20	Matrix Metallopeptidase 9	Matrix Metalloproteinase-9	ENSG00000100985	P14780	0.444726	0.476885	1	By_ingredient	0.7526	灵芝
SMTT02160	MR1	None	major histocompatibility complex, class I-related	Major Histocompatibility Complex Class I-related Gene Protein	ENSG00000153029	Q95460	0.0185072	0.0595531	1	By_ingredient	0.3966	灵芝
SMTT02167	MS4A1	11	Membrane Spanning 4-domains A1	B-lymphocyte Antigen CD20	ENSG00000156738	P11836	0.0135735	0.0315038	1	By_ingredient	0.1782	灵芝
SMTT02172	MSLN	None	mesothelin	Mesothelin	ENSG00000102854	Q13421	0.0141267	0.053676	1	By_ingredient	0.1694	灵芝
SMTT02203	MYC	8	MYC Proto-oncogene, BHLH Transcription Factor	Myc Proto-oncogene Protein	ENSG00000136997	P01106	0.299217	0.329259	1	By_ingredient	0.5928	灵芝
SMTT02248	NCF1	7	Neutrophil Cytosolic Factor 1	Neutrophil Cytosol Factor 1	ENSG00000158517	P14598	0.0787366	0.102744	1	By_ingredient	0.1938	灵芝
SMTT02251	NCOA1	None	nuclear receptor coactivator 1	Nuclear Receptor Coactivator 1	ENSG00000084676	Q15788	0.919202	0.930489	1	By_ingredient	1.0606	灵芝
SMTT02309	NFATC1	None	nuclear factor of activated T cells 1	Nuclear Factor Of Activated T-cells, Cytoplasmic 1	ENSG00000131196	O95644	0.0401723	0.0619329	1	By_ingredient	0.2764	灵芝
SMTT02348	NOS1	12	Nitric Oxide Synthase 1	Nitric Oxide Synthase, Brain	ENSG00000089250	P29475	0.0388297	0.0802502	1	By_ingredient	0.6824	灵芝
SMTT02349	NOS2	None	nitric oxide synthase 2	Nitric Oxide Synthase, Inducible	ENSG00000007171	P35228	0.999166	0.999818	1	By_ingredient	3.9367	灵芝
SMTT02350	NOS3	None	nitric oxide synthase 3	Nitric Oxide Synthase, Endothelial	ENSG00000164867	P29474	0.0430029	0.0845798	1	By_ingredient	0.8423	灵芝
SMTT02366	NPSR1	None	neuropeptide S receptor 1	Neuropeptide S Receptor	ENSG00000187258	Q6W5P4	0.0227483	0.0649931	1	By_ingredient	0.449	灵芝
SMTT02379	NR3C1	5	Nuclear Receptor Subfamily 3 Group C Member 1	Glucocorticoid Receptor	ENSG00000113580	P04150	0	0	0	By_ingredient	34.7142	灵芝
SMTT02380	NR3C2	4	Nuclear Receptor Subfamily 3 Group C Member 2	Mineralocorticoid Receptor	ENSG00000151623	P08235	1.08369e-18	9.94275e-16	9.54504e-14	By_ingredient	8.2156	灵芝
SMTT02420	OGG1	3	8-oxoguanine DNA Glycosylase	None	ENSG00000114026	None	0.0269635	0.0474433	1	By_ingredient	0.1843	灵芝
SMTT02425	OPN1LW	X	Opsin 1, Long Wave Sensitive	None	ENSG00000102076	None	0.0131005	0.0517903	1	By_ingredient	0.4621	灵芝
SMTT02427	OPN1SW	7	Opsin 1, Short Wave Sensitive	None	ENSG00000128617	None	0.0131005	0.0517903	1	By_ingredient	0.4459	灵芝
SMTT02430	OPRM1	None	opioid receptor mu 1	Mu-type Opioid Receptor	ENSG00000112038	P35372	0.988335	0.991195	1	By_ingredient	0.8168	灵芝
SMTT02447	OXT	None	oxytocin/neurophysin I prepropeptide	Oxytocin-neurophysin 1	ENSG00000101405	P01178	0.00352779	0.0315771	1	By_ingredient	0.5435	灵芝
SMTT02448	OXTR	None	oxytocin receptor	Oxytocin Receptor	ENSG00000180914	P30559	0.0271337	0.0692226	1	By_ingredient	0.4365	灵芝
SMTT02451	P2RY11	19	Purinergic Receptor P2Y11	P2Y Purinoceptor 11	ENSG00000244165	Q96G91	0.000591492	0.0112132	1	By_ingredient	0.4295	灵芝
SMTT02495	PCYT1A	3	Phosphate Cytidylyltransferase 1, Choline, Alpha	Choline-phosphate Cytidylyltransferase A	ENSG00000161217	P49585	0.0417858	0.0832496	1	By_ingredient	0.2346	灵芝
SMTT02546	PGD	None	phosphogluconate dehydrogenase	6-phosphogluconate Dehydrogenase, Decarboxylating	ENSG00000142657	P52209	0.0269635	0.0474433	1	By_ingredient	0.1843	灵芝
SMTT02550	PGR	11	Progesterone Receptor	Progesterone Receptor	ENSG00000082175	P06401	0.00453737	0.0283837	1	By_ingredient	3.361	灵芝
SMTT02668	PON1	7	Paraoxonase 1	Serum Paraoxonase/arylesterase 1	ENSG00000005421	P27169	0.115757	0.141264	1	By_ingredient	0.1691	灵芝
SMTT02679	PPARA	None	peroxisome proliferator activated receptor alpha	Peroxisome Proliferator-activated Receptor Alpha	ENSG00000186951	Q07869	0.174193	0.201042	1	By_ingredient	0.7414	灵芝
SMTT02682	PPARGC1A	4	PPARG Coactivator 1 Alpha	None	ENSG00000109819	None	0.000187319	0.00512843	1	By_ingredient	0.919	灵芝
SMTT02733	PROKR2	20	Prokineticin Receptor 2	None	ENSG00000101292	None	0.0200577	0.0612974	1	By_ingredient	0.4312	灵芝
SMTT02768	PTDSS1	8	Phosphatidylserine Synthase 1	Phosphatidylserine Synthase 1	ENSG00000156471	P48651	0.0417858	0.0832496	1	By_ingredient	0.2064	灵芝
SMTT02771	PTGER2	None	prostaglandin E receptor 2	Prostaglandin E2 Receptor EP2 Subtype	ENSG00000125384	P43116	4.10199e-06	0.000290268	1	By_ingredient	1.3739	灵芝
SMTT02772	PTGER3	None	prostaglandin E receptor 3	Prostaglandin E2 Receptor EP3 Subtype	ENSG00000050628	P43115	0.0447426	0.0862587	1	By_ingredient	0.4667	灵芝
SMTT02773	PTGFR	None	prostaglandin F receptor	Prostaglandin F2-alpha Receptor	ENSG00000122420	P43088	0.00400575	0.0329393	1	By_ingredient	0.5887	灵芝
